1,30.22
2,55.23
3,43.68
4,50.43
5,70.32
6,69.34
7,73.53
8,80.55
9,94.21
10,75.88
11,90.92
12,74.41
13,100.58
14,107.66
15,69.21
16,59.37
17,103.32
18,100.53
19,87.2
20,96.62
21,74.33
22,108.56
23,107.45
24,68.33
25,46.34
26,66.34
27,85.32
28,50.62
29,40.45
30,80.69
31,90.25
32,103.56
33,108.43
34,70.45
35,33.21
36,90.24
37,98.21
38,78.34
39,100.53
40,88.59
41,106.22
42,48.44
43,53.69
44,33.26
45,62.68
46,80.58
47,32.33
48,20.68
49,45.67
50,54.32
51,43.22
52,60.08
53,80.23
54,30.23
55,23.22
56,19.84
57,78.84
58,34.33
59,32.34
60,110.63
61,73.42
62,84.46
63,77.84
64,90.23
65,44.37
66,75.34
67,43.21
68,32.89
